posting_date,job_title,link_to_post,salary,city,remote_or_office,candidate_experince,seniority_level
2021-09-26,Java Team Lead,https://djinni.co/jobs/192460-java-team-lead/,no salary,Київ,"",1 рік досвіду,Upper Intermediate
2021-09-26,Senior .Net Developer,https://djinni.co/jobs/308540-senior-net-developer/,no salary,Київ, Full Remote,5 років досвіду,Intermediate
2021-09-26,Full-Stack developer,https://djinni.co/jobs/308539-full-stack-developer/,no salary,"Дніпро, Запоріжжя, Миколаїв", Office/Remote на ваш вибір,2 роки досвіду,Upper Intermediate
2021-09-26,React Native developer,https://djinni.co/jobs/308538-react-native-developer/,no salary,"Дніпро, Запоріжжя", Office/Remote на ваш вибір,2 роки досвіду,Upper Intermediate
2021-09-26,DevOps Engineer,https://djinni.co/jobs/276293-devops-engineer/,no salary,no location found, Full Remote,3 роки досвіду,Upper Intermediate
2021-09-26,QA Team Lead,https://djinni.co/jobs/308537-qa-team-lead/,no salary,Запоріжжя, Office/Remote на ваш вибір,2 роки досвіду,Upper Intermediate
2021-09-26,Senior Full Stack Java Developer,https://djinni.co/jobs/290634-senior-full-stack-java-developer/,no salary,"Київ, Харків", Full Remote,5 років досвіду,""
2021-09-26,"Development Team Lead: PHP, Laravel/Symfony",https://djinni.co/jobs/308536-development-team-lead-php-laravel-symfony/,no salary,Київ, Office Work,5 років досвіду,""
2021-09-26,Intern Swift/IOS engineer,https://djinni.co/jobs/308535-intern-swift-ios-engineer/,no salary,Київ, Office Work,без досвіду,Intermediate
2021-09-26,PHP Middle+ Developer with JS and HTML/CSS,https://djinni.co/jobs/276422-php-middle-developer-with-js-and-html-css/,no salary,Київ, Office/Remote на ваш вибір,1 рік досвіду,""
2021-09-26,Senior Embedded Software Engineer,https://djinni.co/jobs/206505-senior-embedded-software-engineer/,no salary,Київ,"",3 роки досвіду,Intermediate
2021-09-26,Intern Java Developer,https://djinni.co/jobs/308534-intern-java-developer/,no salary,Дніпро, Quarantine Remote,без досвіду,Intermediate
2021-09-26,Full Stack Engineer,https://djinni.co/jobs/291609-full-stack-engineer/,$5000-6000,"Київ, Харків, Дніпро, Одеса, Запоріжжя", Full Remote,3 роки досвіду,Upper Intermediate
2021-09-26,Senior Full Stack Engineer ( React/Node js. ),https://djinni.co/jobs/308533-senior-full-stack-engineer-react-node-js-/,no salary,"Київ, Україна", Office/Remote на ваш вибір,5 років досвіду,Intermediate
2021-09-26,PHP developer,https://djinni.co/jobs/178633-php-developer/,$1500-2500,Київ, Office/Remote на ваш вибір,2 роки досвіду,""
